,Body Type,Color,Condition,Engine Capacity (CC),Kilometers,Model,Transmission Type,Year,brand,price
0,SUV,Maroon,Used ,1500 cc," 48,000 KM",580,Automatic,2019,580,"235,000 EGP"
1,Sedan,Baby Blue,Used ,1600 cc," 200,000 KM",156,Manual,2002,Alfa,"110,000 EGP"
2,Sedan,Black,Used ,2000 cc," 295,000 KM",156,Manual,2000,Alfa,"70,000 EGP"
3,Hatchback,Gold,Used ,1600 cc," 197,000 KM",romeo,Manual,1996,Alfa,"56,000 EGP"
4,Sedan,NA, New ,2000 cc,0 KM,Giulia,Automatic,2021,Alfa,"720,000 EGP"
5,Sedan,NA, New ,2000 cc,0 KM,Giulia,Automatic,2021,Alfa,"820,000 EGP"
6,Sedan,NA, New ,2000 cc,0 KM,Giulia,Automatic,2021,Alfa,"920,000 EGP"
7,Sedan,NA, New ,2900 cc,0 KM,Giulia,Automatic,2020,Alfa,"1,850,000 EGP"
8,Sedan,White,Used ,2000 cc," 13,000 KM",Giulia,Automatic,2020,Alfa,"640,000 EGP"
9,Hatchback,NA, New ,1400 cc,0 KM,Giulietta,Automatic,2021,Alfa,"450,000 EGP"
10,Hatchback,Blue,Used ,1400 cc, 0 KM,Giulietta,Automatic,2021,Alfa,"450,000 EGP"
11,Hatchback,Blue,Used ,1400 cc, 0 KM,Giulietta,Automatic,2021,Alfa,"450,000 EGP"
12,Hatchback,In Warranty,Used ,1400 cc," 12,000 KM",Giulietta,Automatic,2020,Alfa,"385,000 EGP"
13,Hatchback,Gray,Used ,1400 cc," 56,500 KM",Giulietta,Automatic,2019,Alfa,"360,000 EGP"
14,Hatchback,Black,Used ,1400 cc," 157,000 KM",Giulietta,Automatic,2015,Alfa,"270,000 EGP"
15,Hatchback,Silver,Used ,1400 cc," 102,000 KM",Giulietta,Automatic,2015,Alfa,"290,000 EGP"
16,Hatchback,Black,Used ,1400 cc," 156,000 KM",Giulietta,Dual Clutch,2015,Alfa,"270,000 EGP"
17,1800 cc,NA, New ,NA,0 KM,veloce,NA,2021,Alfa,"600,000 EGP"
18,SUV,NA, New ,2000 cc,0 KM,Stelvio,Automatic,2021,Alfa,"1,040,000 EGP"
19,SUV,NA, New ,2000 cc,0 KM,Stelvio,Automatic,2021,Alfa,"1,150,000 EGP"
20,SUV,NA, New ,2000 cc,0 KM,Stelvio,Automatic,2020,Alfa,"895,000 EGP"
21,SUV,NA, New ,2900 cc,0 KM,Stelvio,Automatic,2020,Alfa,"2,100,000 EGP"
22,Coupe,NA, New ,4000 cc,0 KM,Vantage,Automatic,2020,Aston,"4,750,000 EGP"
23,Coupe,Factory Paint,Used ,1400 cc," 105,000 KM",A1,Automatic,2013,Audi,"268,000 EGP"
24,Sedan,NA, New ,1000 cc,0 KM,A3,Automatic,2020,Audi,"475,000 EGP"
25,Sedan,NA, New ,1000 cc,0 KM,A3,Automatic,2020,Audi,"555,000 EGP"
26,Sedan,Black,Used ,1000 cc," 10,000 KM",A3,Automatic,2020,Audi,"535,000 EGP"
27,Hatchback,Navy Blue,Used ,1400 cc," 130,000 KM",A3,Automatic,2016,Audi,"340,000 EGP"
28,Coupe,Blue,Used ,1400 cc," 56,000 KM",A3,Automatic,2016,Audi,"460,000 EGP"
29,Sedan,Black,Used ,1400 cc," 35,000 KM",A3,Automatic,2016,Audi,"360,000 EGP"
30,Sedan,Red,Used ,1400 cc," 100,000 KM",A3,Automatic,2015,Audi,"375,000 EGP"
31,Sedan,Black,Used ,1400 cc," 180,000 KM",A3,Automatic,2015,Audi,"325,000 EGP"
32,Sedan,Silver,Used ,1400 cc," 140,000 KM",A3,Automatic,2014,Audi,"300,000 EGP"
33,Hatchback,White,Used ,1400 cc," 118,000 KM",A3,Automatic,2013,Audi,"230,000 EGP"
34,Hatchback,Black,Used ,1400 cc," 182,000 KM",A3,Dual Clutch,2013,Audi,"220,000 EGP"
35,Hatchback,Silver,Used ,1400 cc," 160,000 KM",A3,Automatic,2011,Audi,"2,150,000 EGP"
36,Sedan,NA, New ,2000 cc,0 KM,A4,Automatic,2021,Audi,"820,000 EGP"
37,Sedan,NA, New ,2000 cc,0 KM,A4,Automatic,2021,Audi,"910,000 EGP"
38,Sedan,Blue,Used ,2000 cc, 0 KM,A4,Automatic,2021,Audi,"880,000 EGP"
