,Ad_ID,date,brand,Model,Year,Condition,Kilometers,Engine Capacity (CC),Transmission Type,Body Type,Fabrica?,price
0,5e14fbcc0536470cb01494145f8bfdd6,18-02-2023,JAC,JS4,2022,Used,"8,403",1500,Automatic,SUV,Yes,530000
1,16ca78db11a64a5f95b53e61bb6f8331,09-02-2023,Volkswagen,Golf,2023,Used,100,1200,Automatic,Hatchback,,1950000
2,06701e9061c042b48b9ca73317c5ee79,09-02-2023,Mercedes,EQS,2023,Used,100,6400,Automatic,Hatchback,,5200000
3,9551c6b0ece54461ae937d56a89be50e,09-02-2023,Audi,A5,2023,Used,100,2000,Automatic,Sedan,,3225000
4,3abaf9aecdeb48babc8a611b0c470c8b,07-02-2023,BYD,F3,2023,Used,"14,397",1500,Manual,Sedan,,330000
5,dde1829d1e004b49a9d36f4fe35eef4a,07-02-2023,Chevrolet,Optra,2023,Used,38,1500,Automatic,Sedan,,450000
6,430i,06-02-2023,BMW,430i Convertible,2022,Used,10,2000,Dual Clutch,Cabriolet,Yes,900000
7,xc,16-02-2023,Volvo,XC 90,2021,Used,"16,000",2000,Automatic,SUV,,1180000
8,glc,14-02-2023,Mercedes,GLC 200,2020,Used,"12,600",2000,Automatic,SUV,,2700000
9,c5,03-02-2023,Citroen,C5 Aircross,2020,Used,"40,000",1600,Automatic,SUV,Yes,288000
10,glc,18-02-2023,Mercedes,GLC 300,2020,Used,"82,000",2000,Automatic,Hatchback,,2400000
11,fa8eb86bd44f42ca81772f9e4575c478,18-02-2023,Toyota,Corolla,2019,Used,"30,000",1600,Automatic,Sedan,,680000
12,8692bf6a1f3443aabc82d9a2216383d8,18-02-2023,Mercedes,B150,2009,Used,"114,000",1500,Automatic,Hatchback,Yes,385000
13,6b2f96f2464a4f19a8057d976066f01f,18-02-2023,Skoda,Octavia,2015,Used,"160,000",1600,Automatic,Station,,510000
14,56b110daea764fcdb440536ca4323d61,18-02-2023,Audi,Q3,2016,Used,"140,000",1400,Automatic,SUV,,750000
15,35a8b7481ecf46b6b770c78fe07f0238,18-02-2023,Audi,Q3,2021,Used,"35,000",1400,Automatic,SUV,Yes,1200000
16,07557b17cd7547eebf5d4d957121c5a0,18-02-2023,Mitsubishi,Lancer,2009,Used,"180,000",1600,Automatic,Sedan,,350000
17,760478e62fc64c77b48a1a552471bdc3,18-02-2023,Speranza,Tiggo,2013,Used,"125,000",1600,Manual,SUV,Yes,197000
18,emgrand,18-02-2023,Geely,Emgrand 7,2015,Used,"96,000",1500,Manual,Sedan,Yes,190000
19,3d50ed5749c44351a49124165002f8b6,18-02-2023,Seat,Leon,2015,Used,"112,000",1200,Automatic,Hatchback,,445000
20,255f7500fe6a47068c188eb45767acb3,18-02-2023,Kia,Carens,2011,Used,"160,000",1600,Automatic,SUV,,350000
21,4da27a6b94ef4004ac79c150258a853c,18-02-2023,MG,ZS,2022,Used,"1,000",1500,Automatic,SUV,Yes,640000
22,b31503c4659d4f0db21db6f4d04870a6,13-02-2023,BMW,M850i,2020,Used,"23,000",4400,Automatic,Cabriolet,,4500000
23,grand,10-02-2023,Opel,Grand Land,2021,Used,"44,270",1600,Automatic,SUV,Yes,930000
24,911c94081e574fccb5403a5678b924cf,09-02-2023,Volkswagen,Tiguan,2023,Used,100,1400,Automatic,Hatchback,,1730000
25,nissan,07-02-2023,Nissan Motor Egypt,Sunny,2020,Used,"44,566",1500,Automatic,Sedan,,365000
26,arrizo,18-02-2023,Chery,ARRIZO 5,2022,Used,"21,552",1500,Automatic,Sedan,,395000
27,nissan,18-02-2023,Nissan Motor Egypt,Sunny,2015,Used,"179,394",1500,Automatic,Sedan,,260000
28,60f031ab7469413f8c99df36a6d7a4bc,06-02-2023,BMW,M5,2022,Used,10,4400,Dual Clutch,Sedan,Yes,2400000
29,m8,06-02-2023,BMW,M8,2022,Used,10,4400,Automatic,Sedan,Yes,3000000
30,xc,13-02-2023,Volvo,XC 60,2022,Used,"17,500",2000,Automatic,SUV,,1950000
31,36c4410927a243a782e578bf30fa5a92,10-02-2023,Toyota,Corolla,2021,Used,"37,000",1600,Automatic,Sedan,Yes,800000
32,07875f7548a64b3dbcf6c01f582a7dcd,18-02-2023,MG,5,2021,Used,"52,000",1500,Automatic,Sedan,Yes,425000
33,f480599d49c7459aaaed922b83b622a1,18-02-2023,Brilliance,FSV,2014,Used,"122,000",1500,Automatic,Sedan,,170000
34,sandero,18-02-2023,Renault,Sandero Stepway,2016,Used,"80,000",1600,Automatic,SUV,No,225000
35,tiggo,18-02-2023,Chery,Tiggo 3,2019,Used,"115,000",1600,Automatic,Hatchback,Yes,350000
36,elantra,18-02-2023,Hyundai,Elantra HD,2009,Used,"159,000",1600,Automatic,Sedan,,290000
37,sandero,18-02-2023,Renault,Sandero Stepway,2016,Used,"110,000",1600,Automatic,Hatchback,,295000
38,9db6d6916b014efebe71c7cdba3709a9,18-02-2023,Skoda,KAMIQ,2021,Used,"50,000",1600,Automatic,SUV,,900000
39,c7fff1528dbf4cfbbb128e9f0c017657,18-02-2023,Hyundai,Getz,2008,Used,"240,000",1600,Automatic,Hatchback,,230000
40,1043827881f6423799ede6051e1b0195,18-02-2023,Renault,Clio,2002,Used,"176,000",1200,Manual,Sedan,,75000
41,008c26fb345b414eb3b7700315278922,18-02-2023,BMW,X3,2009,Used,"190,000",3000,Automatic,SUV,,440000
