,Ad_ID,date,Body Type,Condition,Engine Capacity (CC),Kilometers,Model,Transmission Type,Year,brand,price
0,62af98767810bf21b6e574ad,,Cabriolet,Used,2000 cc,"2,500 KM",718 Boxster,Automatic,2019,Porsche,"780,000"
1,62af96b317671b25c5263e20,,SUV,Used,3000 cc,10 KM,Cayenne S,Automatic,2022,Porsche,"875,000"
2,62af94ef42363b2e1a6490d1,,SUV,Used,4000 cc,10 KM,GLS 580,Automatic,2021,Mercedes,"1,250,000"
3,62af935d7810bf21b6e57448,,Hatchback,Used,1900 cc,"17,000 KM",A35,Automatic,2021,Mercedes,"310,000"
4,62a7692e5504800d9e763e42,,SUV,Used,1500 cc,10 KM,Tiggo,Automatic,2021,Speranza,"600,000"
5,62a76395b92660b8db674754,,Hatchback,Used,1300 cc,10 KM,Benni Mini,Automatic,2021,Changan,"300,000"
6,62a761feb92660b8db67474c,,SUV,Used,1500 cc,"1,000 KM",CS55,Automatic,2021,Changan,"700,000"
7,62a5e7082a2d39db5688ea84,,Sedan,Used,1500 cc,"110,000 KM",318i,Automatic,2018,BMW,"650,000"
8,62a49517165db1894d8c2efe,,SUV,Used,1600 cc,"15,000 KM",S4,Automatic,2021,JAC,"410,000"
9,62b2088fd0783102f9b879f4,,SUV,Used,1200 cc,"20,000 KM",Duster,Automatic,2021,Renault,"465,000"
10,62b20866672fe1fb6cab15c9,,Sedan,Used,1100 cc,"20,000 KM",128 nova,Manual,1984,Fiat,"20,000"
11,62b20749d0783102f9b879df,,Sedan,Used,1600 cc,"56,000 KM",2008,Automatic,2017,Peugeot,"325,000"
12,62b206a5fc126bc91005c7b3,,Sedan,Used,1600 cc,"76,000 KM",Sentra,Automatic,2018,Nissan,"295,000"
13,62b1d28e0c4edc9d26694f2b,,SUV,Used,3700 cc,"360,000 KM",Land cruiser,Manual,2007,Toyota,"380,000"
14,62b1d193fc6ec90126c6da58,,Sedan,Used,1500 cc,"105,000 KM",Lanos,Manual,2006,Daewoo,"100,000"
15,62b1d05d7450a9643e3d9369,,Sedan,Used,1600 cc,100 KM,Tipo,Automatic,2022,Fiat,"440,000"
16,62b1d074fc6ec90126c6da41,,Sedan,Used,1600 cc,"153,000 KM",Elantra,Automatic,2006,Hyundai,"160,000"
17,62b1cf87fc6ec90126c6da37,,SUV,Used,1600 cc,"1,000 KM",Tucson NX4e,Automatic,2022,Hyundai,"945,000"
18,62b1cee3906b3437659c4029,,Sedan,Used,1600 cc,"120,000 KM",Fantasia,Automatic,2010,Skoda,"273,000"
19,62b1cce27450a9643e3d9350,,Hatchback,Used,800 cc,"47,000 KM",Alto,Manual,2020,Suzuki,"130,000"
20,62b1cc747450a9643e3d934e,,Sedan,Used,1600 cc,"50,000 KM",Corolla,Automatic,2019,Toyota,"420,000"
21,62b1ca900c4edc9d26694ea2,,Hatchback,Used,1000 cc,"80,000 KM",127,Manual,1982,Fiat,"13,500"
22,62b1c9d93558d8ea25272b78,,Hatchback,Used,800 cc,"47,000 KM",Alto,Manual,2020,Suzuki,"130,000"
23,62b1c8ff3558d8ea25272b70,,Sedan,Used,1400 cc,"130,000 KM",Clio,Manual,2007,Renault,"125,000"
24,62b1c8980c4edc9d26694e83,,SUV,Used,1500 cc,100 KM,Xceed,Automatic,2022,Kia,"620,000"
25,62b1cee3906b3437659c4029,,Sedan,Used,1600 cc,"120,000 KM",Fantasia,Automatic,2010,Skoda,"273,000"
26,62b1cce27450a9643e3d9350,,Hatchback,Used,800 cc,"47,000 KM",Alto,Manual,2020,Suzuki,"130,000"
27,62b1cc747450a9643e3d934e,,Sedan,Used,1600 cc,"50,000 KM",Corolla,Automatic,2019,Toyota,"420,000"
28,62b1ca900c4edc9d26694ea2,,Hatchback,Used,1000 cc,"80,000 KM",127,Manual,1982,Fiat,"13,500"
29,62b1c9d93558d8ea25272b78,,Hatchback,Used,800 cc,"47,000 KM",Alto,Manual,2020,Suzuki,"130,000"
30,62b1c8ff3558d8ea25272b70,,Sedan,Used,1400 cc,"130,000 KM",Clio,Manual,2007,Renault,"125,000"
31,62b1c8980c4edc9d26694e83,,SUV,Used,1500 cc,100 KM,Xceed,Automatic,2022,Kia,"620,000"
32,62b1c7a07810bf21b6e5881d,,Van,Used,1300 cc,"134,600 KM",N 300,Manual,2012,Chevrolet,"85,000"
33,62b1c73c906b3437659c3fdf,,Sedan,Used,2000 cc,"25,000 KM",E300,Automatic,2020,Mercedes,"2,400,000"
