,Ad_ID,Body Shape,Car Status,Condition,Engine Capacity,Model,Transmission,Year,brand,price,Mileage,1400,3000,2000,1300,1600,Travel Range,1500,1200,Fuel Type,check,expand_less,5700,4400,1100,4000,1000,3200,3400
0,https://www.contactcars.com/en/newcars4sale/suzuki/swift/731031e3dd68499a971e903e38b27a65-2023?status=New?dealer=1519503,Hatchback,New,New,1300,Swift,Automatic,2023,Suzuki,"165,000",,,,,,,,,,,,,,,,,,,
1,https://www.contactcars.com/en/newcars4sale/hyundai/tucson-nx4e-/6ee5b97dda644c1a8935f93566b21d13-2023?status=New?dealer=1519503,SUV,New,New,1600,Tucson,Automatic,NX4e,Hyundai,"398,000",,,,,,,,,,,,,,,,,,,
2,https://www.contactcars.com/en/newcars4sale/mercedes/glc-300-/cd787bc737ae4f6d996a520370ee6221-2023?status=New?dealer=1519523,SUV,New,New,2000,GLC,Automatic,300,Mercedes,"4,700,000",,,,,,,,,,,,,,,,,,,
3,https://www.contactcars.com/en/usedcars/toyota/corolla/ba8e9f317b46458486e431acf49246c9-2015?status=Used,Sedan,,Sedan,1600,Corolla,Automatic,2015,Toyota,"745,000","128,000",,,,,,,,,,,,,,,,,,
4,https://www.contactcars.com/en/newcars4sale/chery/tiggo-8-pro/93c6f25b84774978b9f3e87e935a199c-2023?status=New?dealer=1519515,SUV,New,New,1600,Tiggo,Automatic,8,Chery,"270,000",,,,,,,,,,,,,,,,,,,
5,https://www.contactcars.com/en/newcars4sale/mg/rx5-plus/78876016263c4feb8a9462ae6f171f94-2024?status=New?dealer=1519513,SUV,New,New,1500,RX5,Automatic,Plus,MG,"405,000",,,,,,,,,,,,,,,,,,,
6,https://www.contactcars.com/en/usedcars/ford/fiesta/b6a0aa2ce1ad416cb1f3171e1688faa0-2019?status=Used?dealer=1519410,Hatchback,,Hatchback,1000,Fiesta,Automatic,2019,Ford,"200,000","44,000",,,,,,,,,,,,,,,,,,
7,https://www.contactcars.com/en/usedcars/bmw/x2/38e13e615c3a46b88fa70bbd95fa2dfe-2019?status=Used,SUV,,SUV,1500,X2,Automatic,2019,BMW,"1,750,000","66,000",,,,,,,,,,,,,,,,,,
8,https://www.contactcars.com/en/usedcars/citroen/c5-aircross/cf3df4a442844828bb7f9e9eaeadcad1-2020?status=Used,SUV,,SUV,1600,C5,Automatic,Aircross,Citroen,"1,200,000","165,000",,,,,,,,,,,,,,,,,,
9,https://www.contactcars.com/en/usedcars/bmw/320i/5c3c3ebb96714852b82e8626a6b56378-2016?status=Used,Sedan,,Sedan,2000,320i,Automatic,2016,BMW,"1,450,000","122,000",,,,,,,,,,,,,,,,,,
10,https://www.contactcars.com/en/usedcars/kia/cerato/e1bd931a8dee49ec87bd29b12ecb0208-2022?status=Used,Sedan,,Sedan,1600,Cerato,Automatic,2022,Kia,"915,000","35,000",,,,,,,,,,,,,,,,,,
11,https://www.contactcars.com/en/newcars4sale/bmw/440i-convertible/1646f6584ddf4ac28c31382005329400-2022?status=New?dealer=1519393,Cabriolet,New,New,3000,440i,Automatic,convertible,BMW,"2,650,000",,,,,,,,,,,,,,,,,,,
12,https://www.contactcars.com/en/newcars4sale/honda/cr-v/f84c9bcd2d754d72b617f00b6db53a07-2022?status=New?dealer=1519511,SUV,New,New,1500,CR-V,Automatic,2022,Honda,"710,000",,,,,,,,,,,,,,,,,,,
13,https://www.contactcars.com/en/usedcars/range-rover/-sport/de8115663df944cc8b73416873afb850-2021?status=Used?dealer=1519522,SUV,,SUV,2000,Rover,Automatic,Sport,Range,"6,000,000","30,000",,,,,,,,,,,,,,,,,,
14,https://www.contactcars.com/en/usedcars/seat/tarraco/a03a3997ab014049be730e332af04ba2-2021?status=Used,SUV,,SUV,,Tarraco,Automatic,2021,Seat,"1,850,000","56,000",Gas,,,,,,,,,,,,,,,,,
15,https://www.contactcars.com/en/usedcars/bmw/218i/5c177796cde1474a963a584bb013b15c-2023?status=Used,Sedan,,Sedan,1500,218i,Dual Clutch,2023,BMW,"2,050,000","5,000",,,,,,,,,,,,,,,,,,
16,https://www.contactcars.com/en/usedcars/mercedes/cla-180/f61198ed6efa48efbfb6465c69a069b2-2015?status=Used,Sedan,,Sedan,1600,CLA,Automatic,180,Mercedes,"1,400,000","113,000",,,,,,,,,,,,,,,,,,
17,https://www.contactcars.com/en/newcars4sale/porsche/panamera/a65e08b924214e58b61d7e687768b178-2022?status=New?dealer=1519477,Sedan,New,New,,Panamera,Automatic,2022,Porsche,"3,680,000",,,Gas,,,,,,,,,,,,,,,,
18,https://www.contactcars.com/en/usedcars/mercedes/c180/82317f2e364447da95624a7806809bd0-2019?status=Used,Sedan,,Sedan,1600,C180,Automatic,2019,Mercedes,"2,200,000","100,000",,,,,,,,,,,,,,,,,,
19,https://www.contactcars.com/en/usedcars/chery/tiggo-3/873a4875250449d7898dc6388b7c0096-2023?status=Used?dealer=1519264,SUV,,SUV,1600,Tiggo,Automatic,3,Chery,"202,500","7,200",,,,,,,,,,,,,,,,,,
