index,Body Type,Color,Condition,Engine Capacity (CC),Kilometers,Model,Transmission Type,Year,brand,price
962,SUV,Factory Paint,Used ,5400 cc," 35,000 KM",2,Automatic,2006,Hummer,"1,000,000 EGP"
1872,Sedan,Black,Used ,1600 cc," 25,000 KM",180,Automatic,2019,Mercedes,"1,000,000 EGP"
1880,Sedan,White,Used ,1600 cc," 34,000 KM",180,Automatic,2017,Mercedes,"1,000,000 EGP"
2632,SUV,Baby Blue,Used ,5700 cc, 0 KM,VOGUE,Automatic,2021,Range,"1,000,000 EGP"
2633,SUV,Baby Blue,Used ,5700 cc, 0 KM,VOGUE,Automatic,2021,Range,"1,000,000 EGP"
3301,SUV,Red,Used ,2000 cc, 1 KM,60,Automatic,2020,Volvo,"1,000,000 EGP"
1805,Coupe,Silver,Used ,2000 cc," 6,500 KM",C200,Automatic,2020,Mercedes,"1,015,000 EGP"
1806,Coupe,Silver,Used ,2000 cc," 6,500 KM",C200,Automatic,2020,Mercedes,"1,015,000 EGP"
1989,Hatchback,White,Used ,1400 cc, 0 KM,200,Automatic,2021,Mercedes,"1,030,000 EGP"
1990,Hatchback,White,Used ,1400 cc, 0 KM,200,Automatic,2021,Mercedes,"1,030,000 EGP"
1991,Hatchback,White,Used ,1400 cc, 0 KM,200,Automatic,2021,Mercedes,"1,030,000 EGP"
18,SUV,NA, New ,2000 cc,0 KM,Stelvio,Automatic,2021,Alfa,"1,040,000 EGP"
56,SUV,NA, New ,2000 cc,0 KM,Q3,Automatic,2020,Audi,"1,050,000 EGP"
3307,SUV,Black,Used ,2000 cc," 49,000 KM",90,Manual,2018,Volvo,"1,050,000 EGP"
3308,SUV,NA,Used ,2000 cc," 50,000 KM",90,Automatic,2016,Volvo,"1,050,000 EGP"
1879,Sedan,Black,Used ,1600 cc," 60,000 KM",180,Automatic,2018,Mercedes,"1,070,000 EGP"
157,Sedan,White,Used ,2000 cc, 10 KM,520i,Automatic,2019,BMW,"1,080,000 EGP"
184,Sedan,Silver,Used ,2000 cc," 10,000 KM",530i,Automatic,2018,BMW,"1,080,000 EGP"
233,SUV,Silver,Used ,2000 cc," 45,000 KM",X3,Automatic,2019,BMW,"1,100,000 EGP"
259,SUV,Navy Blue,Used ,5000 cc," 78,000 KM",X5,Automatic,2017,BMW,"1,100,000 EGP"
